repo,tag,published_at,prerelease,linux,mac,win,total
kubernetes-sigs/headlamp,v0.37.0,2025-10-30T22:30:35Z,False,1289,4439,2844,8572
kubernetes-sigs/headlamp,v0.38.0,2025-11-11T19:45:10Z,False,2339,10106,5997,18442
kubernetes-sigs/headlamp,v0.39.0,2025-12-17T13:45:27Z,False,3611,13592,7640,24843
kubernetes-sigs/headlamp,v0.40.0,2026-02-05T16:58:20Z,False,906,3611,2346,6863
kubernetes-sigs/headlamp,v0.40.1,2026-02-10T18:33:01Z,False,3336,14096,6861,24293
kubernetes-sigs/headlamp,v0.41.0,2026-03-23T19:09:16Z,False,1236,6208,2520,9964
